epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
1;68,625;-1,1064;1,0203;-64,625;1,21;;;;;;;;;;;;;;;
2;218,625;3,6035;11,6937;-156,5;-3,9395;;;;;;;;;;;;;;;
3;322,25;20,1094;24,5889;-179,125;-20,2188;;;;;;;;;;;;;;;
4;331,75;29,9375;25,0137;-176,75;-30,0469;;;;;;;;;;;;;;;
5;329,5;36,5312;24,342;-170,875;-36,4375;;;;;;;;;;;;;;;
6;321;41,7188;23,1117;-163,875;-42,1562;;;;;;;;;;;;;;;
7;310,25;47,0938;21,6966;-154,75;-47,375;;;;;;;;;;;;;;;
8;299;53,5625;20,0985;-145,125;-54,0312;;;;;;;;;;;;;;;
9;285,5;59,8125;18,3058;-134,125;-60,125;;;;;;;;;;;;;;;
10;269,75;66,25;16,3081;-121,9375;-66,3125;;;;;;;;;;;;;;;
11;253,75;71,4375;14,4915;-110;-70,5625;;;;;;;;;;;;;;;
12;237,25;76;12,6016;-98,3125;-76,1875;;;;;;;;;;;;;;;
13;220,5;78,875;10,9208;-87,125;-78,25;;;;;;;;;;;;;;;
14;202,875;79,125;9,4412;-76,4375;-78,0625;;;;;;;;;;;;;;;
15;185,625;76,0625;8,0819;-69,0625;-75,8125;;;;;;;;;;;;;;;
16;170,875;71,25;7,3681;-62,5938;-71,0625;;;;;;;;;;;;;;;
17;154;63,8125;6,5027;-57,8438;-62,9688;;;;;;;;;;;;;;;
18;139,75;55,2188;6,0291;-54,2812;-54,4062;;;;;;;;;;;;;;;
19;125,75;45,5312;5,6818;-51,7188;-45,7812;;;;;;;;;Run;LATENT_DIM;BATCH_SIZE;LR_C;LR_G;N_CRITIC;LAMBDA_GP
20;116;37,6562;5,5453;-50,7812;-37,6562;;;;;;;;;A;32;64;1 e-5;3 e-4;5;10
21;107,3125;30,6406;5,4517;-49,4688;-30,2969;;;;;;;;;B;64;64;5 e-5;1 e-4;3;5
22;99,875;23,9219;5,3279;-49,3125;-23,9531;;;;;;;;;;;;;;;
23;91,75;17,25;5,1104;-48,9375;-17,4375;;;;;;;;;;;;;;;
24;87,75;12,8516;5,3397;-48,0938;-13,0156;;;;;;;;;;;;;;;
25;81,6875;8,2031;5,1911;-47,5;-8,1328;;;;;;;;;;;;;;;
26;78,5625;4,5117;5,2279;-47,8125;-4,3516;;;;;;;;;;;;;;;
27;74,1875;0,8257;5,1477;-47,6562;-0,9277;;;;;;;;;;;;;;;
28;71,25;-1,8193;5,187;-47,1875;1,7725;;;;;;;;;;;;;;;
29;70,0625;-3,2578;5,2033;-47,375;3,0352;;;;;;;;;;;;;;;
30;67,875;-5,1992;5,1532;-47,375;5,125;;;;;;;;;;;;;;;
31;66,25;-6,6523;5,1374;-47,1875;6,6719;;;;;;;;;;;;;;;
32;66,4375;-6,9375;5,1912;-47,4062;7,0195;;;;;;;;;;;;;;;
33;64,1875;-9,0703;5,1767;-47,4062;9,125;;;;;;;;;;;;;;;
34;63,5312;-9,3359;5,1226;-47,2812;9,2656;;;;;;;;;;;;;;;
35;63,0625;-10,2344;5,106;-47,7812;10,1641;;;;;;;;;;;;;;;
36;61,9375;-10,6406;5,1671;-46,6562;10,6953;;;;;;;;;;;;;;;
37;61,0938;-10,9609;5,1593;-46,1562;11,3203;;;;;;;;;;;;;;;
38;61,9062;-10,5469;5,0941;-47;10,7109;;;;;;;;;;;;;;;
39;59,875;-11,3438;5,0574;-45,9688;11,6484;;;;;;;;;;;;;;;
40;59,625;-12,5312;5,1605;-46,3438;12,4297;;;;;;;;;;;;;;;
41;59,8125;-11,9922;5,1272;-46,125;12;;;;;;;;;;;;;;;
42;57,2812;-13,4688;4,9867;-45,8125;13,4141;;;;;;;;;;;;;;;
43;57,8125;-13,1172;4,9332;-46,3125;13,3594;;;;;;;;;;;;;;;
44;57,5938;-13,6719;5,0587;-45,9062;13,9688;;;;;;;;;;;;;;;
45;55,6875;-14,2344;4,8223;-45,7812;14,4609;;;;;;;;;;;;;;;
46;56,3125;-12,7578;4,9059;-44,5312;12,3516;;;;;;;;;;;;;;;
47;56,1875;-12,8594;4,7593;-45,3125;12,8828;;;;;;;;;;;;;;;
48;55,9062;-13,0234;4,7975;-44,9688;13,0547;;;;;;;;;;;;;;;
49;56,9062;-11,7344;4,842;-44,4062;11,8281;;;;;;;;;;;;;;;
50;55,9375;-11,5469;4,6788;-44,0938;11,4062;;;;;;;;;;;;;;;
51;55,4062;-11,75;4,693;-43,6562;11,5391;;;;;;;;;;;;;;;
52;54,9375;-11,0469;4,487;-43,5625;10,8672;;;;;;;;;;;;;;;
53;55,3438;-10,6406;4,6419;-42,7188;10,7031;;;;;;;;;;;;;;;
54;54,8438;-10,4766;4,4769;-42,9375;10,2109;;;;;;;;;;;;;;;
55;53,6875;-11,1406;4,5382;-42,125;10,9922;;;;;;;;;;;;;;;
56;52,9062;-11,875;4,4344;-42,5938;11,7656;;;;;;;;;;;;;;;
57;52,125;-11,3828;4,3331;-41,8125;11,1172;;;;;;;;;;;;;;;
58;51,1875;-12,0312;4,3137;-41,6562;12,0312;;;;;;;;;;;;;;;
59;49,125;-13,2969;4,2559;-41,1875;13,3594;;;;;;;;;;;;;;;
60;47,9375;-13,9688;4,1922;-40,9062;13,9844;;;;;;;;;;;;;;;
61;48,9375;-12,4141;4,1909;-40,4688;12,4688;;;;;;;;;;;;;;;
62;47,625;-13,0312;4,2013;-39,7188;12,9609;;;;;;;;;;;;;;;
